320.0, 214.0
320.0, 215.0
320.0, 215.0
320.0, 215.0
320.0, 215.0
320.0, 223.0
320.0, 243.0
326.0, 273.0
343.0, 305.0
445.0, 359.0
482.0, 360.0
526.0, 351.0
589.0, 316.0
608.0, 294.0
619.0, 270.0
622.0, 245.0
615.0, 218.0
593.0, 192.0
560.0, 175.0
514.0, 167.0
472.0, 167.0
443.0, 178.0
419.0, 197.0
404.0, 229.0
407.0, 308.0
427.0, 342.0
461.0, 372.0
498.0, 393.0
541.0, 398.0
590.0, 396.0
630.0, 387.0
664.0, 375.0
690.0, 365.0
705.0, 361.0
713.0, 358.0
718.0, 358.0
721.0, 363.0
722.0, 384.0
722.0, 419.0
718.0, 458.0
709.0, 495.0
697.0, 522.0
683.0, 542.0
664.0, 558.0
633.0, 567.0
590.0, 569.0
539.0, 561.0
486.0, 544.0
442.0, 526.0
403.0, 506.0
370.0, 484.0
351.0, 466.0
342.0, 448.0
340.0, 429.0
350.0, 410.0
382.0, 390.0
442.0, 371.0
509.0, 361.0
566.0, 358.0
626.0, 357.0
679.0, 357.0
715.0, 357.0
738.0, 355.0
756.0, 349.0
770.0, 340.0
780.0, 326.0
787.0, 308.0
789.0, 285.0
785.0, 260.0
771.0, 233.0
750.0, 208.0
724.0, 188.0
690.0, 173.0
645.0, 164.0
588.0, 161.0
527.0, 166.0
465.0, 181.0
407.0, 202.0
352.0, 228.0
296.0, 255.0
234.0, 278.0
168.0, 295.0
113.0, 301.0
69.0, 298.0
32.0, 286.0
8.0, 267.0
-3.0, 251.0
-11.0, 237.0
-14.0, 224.0
-13.0, 211.0
-6.0, 198.0
15.0, 180.0
50.0, 160.0
88.0, 147.0
130.0, 140.0
172.0, 135.0
235.0, 132.0
262.0, 132.0
290.0, 132.0
316.0, 133.0
336.0, 136.0
357.0, 140.0
380.0, 146.0
405.0, 154.0
458.0, 170.0
458.0, 170.0
484.0, 176.0
508.0, 179.0
528.0, 180.0
546.0, 180.0
562.0, 180.0
574.0, 179.0
581.0, 177.0
587.0, 176.0
592.0, 173.0
596.0, 169.0
598.0, 163.0
599.0, 154.0
600.0, 141.0
600.0, 126.0
598.0, 111.0
594.0, 97.0
588.0, 86.0
578.0, 77.0
558.0, 71.0
480.0, 74.0
429.0, 86.0
384.0, 100.0
344.0, 114.0
309.0, 130.0
284.0, 142.0
267.0, 153.0
254.0, 163.0
244.0, 177.0
237.0, 194.0
235.0, 216.0
235.0, 245.0
237.0, 280.0
243.0, 316.0
249.0, 350.0
253.0, 377.0
256.0, 398.0
259.0, 418.0
260.0, 433.0
260.0, 444.0
260.0, 452.0
259.0, 456.0
258.0, 459.0
257.0, 461.0
257.0, 461.0
257.0, 461.0
257.0, 461.0
257.0, 461.0
257.0, 461.0
257.0, 461.0
257.0, 461.0
